package,common,same_func_diff_content,unique_fedora,unique_other,has_patch,patch_count
perl-file-sync,1,0,0,0,1,1
time,0,0,6,2,1,8
open-sans-fonts,0,0,0,0,0,0
grantlee-qt5,0,0,0,0,0,0
duktape,1,0,0,0,1,1
perl-variable-magic,0,0,0,0,0,0
perl-eval-closure,0,0,0,0,0,0
python-arpeggio,0,0,0,0,0,0
libcacard,1,0,0,0,1,1
notification-daemon,0,0,0,0,0,0
perl-path-class,0,0,0,0,0,0
ffmpegthumbnailer,0,0,0,2,1,2
ws-commons-util,0,0,0,0,0,0
python-parameterized,0,0,0,0,0,0
libxpresent,0,0,0,0,0,0
byaccj,0,0,1,1,1,2
hyphen-ga,0,0,0,0,0,0
maven-shared-incremental,0,0,0,0,0,0
python-mdit-py-plugins,0,0,0,0,0,0
librelp,0,0,0,0,0,0
hyphen-bg,0,0,0,0,0,0
xorg-x11-font-utils,0,0,0,1,1,1
libyubikey,0,0,0,0,0,0
po-debconf,0,0,0,0,0,0
erlang-erlsyslog,0,0,0,1,1,1
pcaudiolib,0,0,0,0,0,0
perl-data-dumper-names,0,0,0,0,0,0
perl-parse-recdescent,1,0,0,0,1,1
icon-naming-utils,1,0,0,0,1,1
hunspell-ss,0,0,0,0,0,0
perl-text-roman,0,0,0,0,0,0
woff2,0,0,1,0,1,1
libavc1394,0,0,1,0,1,1
perl-sys-syslog,0,0,0,0,0,0
sip,5,0,0,0,1,5
libemf,0,0,0,2,1,2
tuna,0,0,2,0,1,2
lucene++,5,0,0,0,1,5
perl-email-date-format,0,0,0,0,0,0
