package,fedora_patch,debian_patch,type,fedora_time,debian_time
cscope,cscope-6-doc-cscope.1-Fix-hyphens.patch,04-fix-manpage-warning.patch,common,2021-03-16 14:55:50+00:00,2013-10-15 21:25:54-07:00
cscope,cscope-7-fscanner-swallow-function-as-parameters.patch,05-support-function-as-parameters.patch,common,2021-03-16 14:55:50+00:00,2015-01-06 21:10:54+02:00
cscope,cscope-5-contrib-ocs-Fix-bashims-Closes-480591.patch,03-fix-ocs-bashisms.patch,common,2021-03-16 14:55:50+00:00,2013-10-15 21:25:49-07:00
mscgen,mscgen-0.20-language.patch,language.y-parse-param.patch,common,2014-06-09 11:06:04+02:00,2013-12-29 13:57:08+01:00
torcs,format-argument.patch,format-argument.patch,common,2018-07-09 20:13:26+01:00,2017-05-06 00:16:05+02:00
cloudcompare,cloudcompare-CVE-2021-21897.patch,0001-check-vertexIndex-which-might-be-1-for-broken-DXF.patch,common,2022-08-25 12:07:52+02:00,
bwm-ng,0001-fix-format-not-a-string-literal.patch,fix_format_string_literal.patch,common,2023-02-24 23:35:26-08:00,2021-11-14 18:04:03+00:00
numad,0002-recognize--m-option-correctly.patch,cf6c2c029edc9c288122bcd603a72eb7f6d042d2.patch,common,2023-12-05 15:01:21+01:00,2020-11-20 22:03:12+01:00
libcdaudio,libcdaudio-0.99-CAN-2005-0706.patch,01-cddb-bufferoverflow.patch,common,2008-12-27 19:01:16+00:00,2021-01-24 18:04:08-05:00
fig2ps,fig2ps-1.5-gv-ps-fix.patch,010_fix-open-ps-with-gv.patch,common,2012-07-04 12:30:05+02:00,2020-06-05 20:59:29-03:00
rust-crypto-hash,crypto-hash-fix-metadata.diff,update-dep-versions.patch,common,2019-01-07 16:47:44-08:00,2019-12-31 02:45:42+00:00
lua-lgi,lgi-0.9.2-fix-s390x.patch,ftbfs_bigendian64.patch,common,2019-02-08 15:57:41+01:00,2017-10-31 14:32:33+01:00
python-testing.common.database,https://github.com/tk0miya/testing.common.database/pull/25.patch,PR25.patch,common,2021-12-27 14:04:13-05:00,2022-06-19 02:07:26-04:00
njam,njam-1.25-gcc45.patch,gcc_46.patch,common,2010-09-10 09:55:37+02:00,2013-01-02 09:20:07-05:00
njam,njam-1.25-rhbz767015.patch,drop_gda.patch,common,2011-12-13 20:38:49+01:00,2013-01-02 09:20:07-05:00
rust-datetime,datetime-fix-metadata-auto.diff,remove-win-deps.diff,common,2017-11-27 15:03:21+01:00,2021-08-21 15:46:51+02:00
rust-datetime,datetime-fix-metadata.diff,dump-iso.diff,common,2017-11-27 15:03:21+01:00,2024-09-01 19:11:21+01:00
libmspub,gcc10.patch,include-cstdint.diff,common,2019-12-14 11:12:15-07:00,2020-04-17 23:04:03+02:00
