package,common,same_func_diff_content,unique_fedora,unique_other,has_patch,patch_count
php-doctrine-event-manager,0,0,0,0,0,0
python-progress,0,0,1,0,1,1
imvirt,0,0,0,3,1,3
rust-compare,0,0,0,0,0,0
rust-psl-types,0,0,0,0,0,0
glob2,1,1,8,10,1,20
par,0,0,0,4,1,4
udt,0,0,0,2,1,2
golang-github-marten-seemann-qpack,0,0,0,1,1,1
python-crcmod,0,0,0,0,0,0
lutok,0,0,0,1,1,1
rust-maplit,0,0,1,0,1,1
python-construct-classes,0,0,0,0,0,0
golang-github-opencontainers-image-spec,0,0,1,0,1,1
gnusim8085,0,0,0,0,0,0
golang-github-jackc-pgpassfile,0,0,0,0,0,0
gnome-dictionary,0,0,1,2,1,3
libogg,0,0,0,0,0,0
cpp-jwt,0,0,2,3,1,5
gnome-common,0,0,0,0,0,0
golang-github-adrg-xdg,0,0,0,0,0,0
httpry,0,0,0,2,1,2
glade,0,0,0,1,1,1
fcitx-table-other,0,0,0,0,0,0
python-ofxparse,0,0,0,0,0,0
octave-interval,0,0,0,6,1,6
librcd,0,0,0,0,0,0
libpst,0,0,2,3,1,5
rust-streaming-stats,0,0,0,0,0,0
gr-rds,0,0,0,0,0,0
xosd,2,0,0,4,1,6
librevenge,0,0,0,0,0,0
nuget,1,0,0,1,1,2
fatresize,0,0,1,1,1,2
bam,0,0,0,5,1,5
quantlib,0,0,0,0,0,0
cppunit,1,0,0,0,1,1
python-ws4py,0,0,1,3,1,4
sbc,0,0,0,1,1,1
saclib,1,0,0,1,1,2
python-django-debreach,0,0,0,1,1,1
voms,0,0,0,7,1,7
libcompizconfig,0,0,1,1,1,2
lxmenu-data,0,0,1,1,1,2
pads,0,0,20,2,1,22
python-markdown-math,0,0,0,0,0,0
globus-simple-ca,0,0,0,0,0,0
geoip,0,0,0,0,0,0
fastd,0,0,0,2,1,2
python-qrcode,0,0,3,0,1,3
netmask,0,0,0,2,1,2
bibutils,0,0,0,0,0,0
golang-github-jpillora-backoff,0,0,0,0,0,0
screenkey,0,0,0,1,1,1
golang-github-jmoiron-sqlx,0,0,0,0,0,0
memtest86+,0,0,0,1,1,1
string-template-maven-plugin,0,0,3,2,1,5
golang-github-disintegration-imaging,0,0,0,0,0,0
yagf,0,1,1,14,1,16
veusz,0,0,0,1,1,1
ldapvi,1,0,10,5,1,16
packagekit-qt,0,0,2,0,1,2
emboss,0,0,9,10,1,19
python-ldappool,0,0,2,0,1,2
festival-freebsoft-utils,0,0,0,1,1,1
libtheora,2,0,1,4,1,7
timeshift,0,0,0,4,1,4
ldns,0,0,2,2,1,4
ppl,0,0,2,6,1,8
figlet,0,0,0,2,1,2
ocaml-mccs,0,0,1,1,1,2
lua-inotify,0,0,0,0,0,0
virt-manager,0,0,2,0,1,2
python-deprecation,0,0,0,0,0,0
python-xstatic-js-yaml,0,0,0,0,0,0
python-jsonpath-rw-ext,0,0,0,1,1,1
ocaml-sha,0,0,1,0,1,1
pass-otp,0,0,1,1,1,2
rust-libudev,0,0,0,0,0,0
gr-hpsdr,0,0,1,0,1,1
sympow,0,0,2,2,1,4
anjuta,1,0,3,8,1,12
nacl,0,0,5,13,1,18
golang-github-nats-io-nuid,0,0,0,0,0,0
gp2c,0,0,0,0,0,0
rust-pad,0,0,0,0,0,0
globus-gridftp-server-control,0,0,0,0,0,0
x-tile,0,0,1,1,1,2
git-secrets,0,0,0,3,1,3
python-pytest-lazy-fixture,0,0,1,0,1,1
gphotofs,0,0,0,2,1,2
prelude-lml,2,0,6,6,1,14
tpm2-tss-engine,0,0,0,0,0,0
rust-cursive,0,0,1,5,1,6
argus,0,0,3,4,1,7
dbus-c++,3,0,3,9,1,15
nitrogen,0,0,3,0,1,3
adjtimex,0,0,1,11,1,12
rust-atty,0,0,1,1,1,2
python-janus,0,0,0,0,0,0
input-pad,0,0,0,1,1,1
emacs-epc,0,0,1,1,1,2
lua-filesystem,0,0,0,0,0,0
lksctp-tools,0,0,8,0,1,8
rust-publicsuffix,0,0,1,1,1,2
mpdas,0,0,0,1,1,1
gl2ps,0,0,0,2,1,2
scorched3d,5,0,4,9,1,18
a52dec,0,0,4,8,1,12
git-ftp,0,0,0,0,0,0
djview4,0,0,4,2,1,6
teg,0,0,0,3,1,3
statserial,0,0,4,6,1,10
ndppd,0,0,0,1,1,1
mtx,2,0,0,6,1,8
globus-gssapi-gsi,0,0,0,0,0,0
python-toml,0,0,0,0,0,0
python-dbus-next,0,0,0,0,0,0
zsh,0,0,8,8,1,16
dvdbackup,0,0,1,3,1,4
warmux,2,0,1,9,1,12
yelp,0,0,1,1,1,2
cmospwd,0,0,0,1,1,1
globus-gsi-proxy-core,0,0,0,0,0,0
golang-github-muesli-cancelreader,0,0,0,0,0,0
python-libdiscid,0,0,0,1,1,1
golang-github-schollz-closestmatch,0,0,0,0,0,0
libsoundio,0,0,0,0,0,0
python-uinput,1,0,0,0,1,1
ampr-ripd,0,0,3,2,1,5
python-fixtures,0,0,0,0,0,0
danmaq,0,0,0,0,0,0
python-xstatic-jsencrypt,0,0,0,1,1,1
golang-github-dimchansky-utfbom,0,0,0,0,0,0
zegrapher,0,0,0,1,1,1
tse3,1,1,1,5,1,8
golang-github-zaf-g711,0,0,0,0,0,0
netstat-nat,0,0,1,0,1,1
unzip,10,1,24,17,1,52
tofrodos,0,0,0,0,0,0
detox,0,0,0,0,0,0
python-user-agents,0,0,0,0,0,0
quiterss,0,0,0,0,0,0
rust-assert-json-diff,0,0,1,1,1,2
gpaw-setups,0,0,0,0,0,0
debugbreak,0,0,0,0,0,0
