package,fedora_patch,debian_patch,type,fedora_time,debian_time
softhsm,softhsm-openssl3-tests.patch,0003-fix-ftbfs-with-opensslv3.patch,similar,2021-11-10 18:10:52,2023-10-27 17:22:51
spacefm,spacefm-1.0.6-gcc10-fno-common.patch,fix-gcc10-fno-common.patch,common,2020-01-26 06:17:26,2020-05-05 09:26:10
tinyxml,tinyxml-issue51.patch,entity-encoding.patch,common,2024-01-03 13:46:35,2011-05-18 19:03:47
tkabber,tkabber-1.1.2-install.patch,Do-not-generate-wrapper-scripts-for-usr-bin.patch,similar,2010-11-08 03:12:36,2014-10-20 17:28:20
tolua++,tolua++-1.0.93-scons304.patch,tolua++-1.0.93-scons304.patch,common,2019-10-11 12:34:04,2022-12-21 19:48:52
udunits,udunits-2.2.28-fix-xml-path-logic.patch,default-xml-path.patch,common,2021-07-08 14:50:53,2021-01-29 12:10:08
vagrant,vagrant-2.3.4-Fix-the-default-vagrant-URL-for-pulling-boxes.patch,0008-Fix-the-default-vagrant-URL-for-pulling-boxes.patch,common,2025-01-16 13:16:03,2025-01-21 18:23:11
vinagre,fix-appstream-data.patch,131d151cb02245f84918f9ba5b3ef055758bcf61.patch,common,2019-11-13 10:34:23,2020-02-13 11:44:32
wordnet,wordnet-3.0-CVE-2008-2149.patch,50_CVE-2008-2149_buffer_overflows.patch,common,2009-06-05 11:58:55,2008-05-15 18:48:33
wordnet,wordnet-3.0-src_stubs_c.patch,20_src_stubs_c.patch,common,2009-06-05 11:58:55,2008-05-13 05:59:21
wordnet,wordnet-3.0-CVE-2008-3908.patch,51_overflows.patch,similar,2009-06-05 11:58:55,2008-09-05 13:19:15
a2jmidid,a2jmidid-add-riscv64-support.patch,0001-sigsegv-enable-RISC-V-build.patch,common,2023-10-06 05:59:44,2025-07-26 09:01:13
acpitool,kernel3.patch,kernel3.patch,common,2018-10-26 21:11:23,2012-01-13 12:30:04
acpitool,var-line.patch,0001-Do-not-assume-fixed-line-lengths-for-proc-acpi-wakeu.patch,common,2018-10-26 21:11:23,2014-11-16 14:39:24
acpitool,ac_adapter.patch,ac_adapter.patch,common,2018-10-26 21:11:23,2010-03-28 12:57:16
acpitool,battery.patch,battery.patch,common,2018-10-26 21:11:23,2010-03-28 12:57:16
acpitool,wakeup.patch,wakeup.patch,common,2018-10-26 21:11:23,2012-01-13 12:12:11
acpitool,typos.patch,typos.patch,similar,2018-10-26 21:11:23,2014-11-16 14:48:07
antiword,remove-cjb.net-references.patch,remove-cjb.net-references.patch,common,2018-07-19 06:13:19,2024-04-11 04:34:03
antiword,docx.patch,docx.patch,common,2018-07-19 06:13:19,2024-04-11 04:34:02
